date,ndvi,pixel_count
2000-02-18,0.2203,289
2000-03-05,0.1993,289
2000-03-21,0.2511,289
2000-04-06,0.2785,289
2000-04-22,0.3759,289
2000-05-08,0.5115,289
2000-05-24,0.5861,289
2000-06-09,0.586,289
2000-06-25,0.6413,289
2000-07-11,0.6294,289
2000-07-27,0.5545,289
2000-08-12,0.4799,289
2000-08-28,0.4246,289
2000-09-13,0.3579,289
2000-09-29,0.3137,289
2000-10-15,0.268,289
2000-10-31,0.2319,289
2000-11-16,-0.0147,289
2000-12-02,0.0064,289
2000-12-18,0.0023,289
2001-01-01,0.1705,289
2001-01-17,0.0446,289
2001-02-02,0.1462,289
2001-02-18,-0.0294,289
2001-03-06,0.1182,289
2001-03-22,0.2023,289
2001-04-07,0.2491,289
2001-04-23,0.3699,289
2001-05-09,0.5039,289
2001-05-25,0.6097,289
2001-06-10,0.5881,289
2001-06-26,0.4913,289
2001-07-12,0.5335,289
2001-07-28,0.5327,289
2001-08-13,0.4594,289
2001-08-29,0.3859,289
2001-09-14,0.3579,289
2001-09-30,0.3286,289
2001-10-16,0.2699,289
2001-11-01,0.2458,289
2001-11-17,0.222,289
2001-12-03,0.1965,289
2001-12-19,0.2068,289
2002-01-01,0.2306,289
2002-01-17,0.0293,289
2002-02-02,0.2114,289
2002-02-18,0.2018,289
2002-03-06,0.0301,289
2002-03-22,0.192,289
2002-04-07,0.2536,289
2002-04-23,0.2755,289
2002-05-09,0.3234,289
2002-05-25,0.3005,289
2002-06-10,0.2929,289
2002-06-26,0.2892,289
2002-07-12,0.3116,289
2002-07-28,0.3302,289
2002-08-13,0.3552,289
2002-08-29,0.3473,289
2002-09-14,0.3457,289
2002-09-30,0.3287,289
2002-10-16,0.2824,289
2002-11-01,0.2623,289
2002-11-17,0.2508,289
2002-12-03,0.2404,289
2002-12-19,0.1977,289
2003-01-01,0.222,289
2003-01-17,-0.0296,289
2003-02-02,0.017,289
2003-02-18,0.0489,289
2003-03-06,0.2385,289
2003-03-22,0.228,289
2003-04-07,0.3253,289
2003-04-23,0.425,289
2003-05-09,0.4822,289
2003-05-25,0.5354,289
2003-06-10,0.5537,289
2003-06-26,0.5211,289
2003-07-12,0.4564,289
2003-07-28,0.4259,289
2003-08-13,0.3718,289
2003-08-29,0.3238,289
2003-09-14,0.3496,289
2003-09-30,0.338,289
2003-10-16,0.2654,289
2003-11-01,0.0848,289
2003-11-17,0.2278,289
2003-12-03,0.0165,289
2003-12-19,0.0877,289
2004-01-01,0.0262,289
2004-01-17,0.1783,289
2004-02-02,-0.0106,289
2004-02-18,0.1693,289
2004-03-05,0.2137,289
2004-03-21,0.2707,289
2004-04-06,0.3172,289
2004-04-22,0.3458,289
2004-05-08,0.3527,289
2004-05-24,0.4292,289
2004-06-09,0.4546,289
2004-06-25,0.3955,289
2004-07-11,0.4923,289
2004-07-27,0.4341,289
2004-08-12,0.4086,289
2004-08-28,0.3477,289
2004-09-13,0.4317,289
2004-09-29,0.3924,289
2004-10-15,0.3697,289
2004-10-31,0.3503,289
2004-11-16,0.2893,289
2004-12-02,0.2877,289
2004-12-18,0.256,289
2005-01-01,0.2394,289
2005-01-17,0.2403,289
2005-02-02,0.2323,289
2005-02-18,0.2203,289
2005-03-06,0.2259,289
2005-03-22,0.2427,289
2005-04-07,0.3118,289
2005-04-23,0.3998,289
2005-05-09,0.5026,289
2005-05-25,0.5763,289
2005-06-10,0.6959,289
2005-06-26,0.5965,289
2005-07-12,0.5326,289
2005-07-28,0.4615,289
2005-08-13,0.4924,289
2005-08-29,0.4808,289
2005-09-14,0.4234,289
2005-09-30,0.3485,289
2005-10-16,0.3109,289
2005-11-01,0.2712,289
2005-11-17,0.212,289
2005-12-03,0.25,289
2005-12-19,0.2443,289
2006-01-01,0.2073,289
2006-01-17,0.2225,289
2006-02-02,0.2079,289
2006-02-18,0.2033,289
2006-03-06,0.2062,289
2006-03-22,0.2051,289
2006-04-07,0.2898,289
2006-04-23,0.3855,289
2006-05-09,0.3917,289
2006-05-25,0.3583,289
2006-06-10,0.3142,289
2006-06-26,0.2692,289
2006-07-12,0.2636,289
2006-07-28,0.2476,289
2006-08-13,0.2893,289
2006-08-29,0.3546,289
2006-09-14,0.4459,289
2006-09-30,0.4504,289
2006-10-16,0.4133,289
2006-11-01,0.3571,289
2006-11-17,0.3004,289
2006-12-03,0.2746,289
2006-12-19,0.2374,289
2007-01-01,0.2118,289
2007-01-17,0.2149,289
2007-02-02,0.1121,289
2007-02-18,0.1859,289
2007-03-06,0.2298,289
2007-03-22,0.3125,289
2007-04-07,0.3208,289
2007-04-23,0.5143,289
2007-05-09,0.5532,289
2007-05-25,0.5539,289
2007-06-10,0.6096,289
2007-06-26,0.504,289
2007-07-12,0.4284,289
2007-07-28,0.3299,289
2007-08-13,0.3756,289
2007-08-29,0.4062,289
2007-09-14,0.3265,289
2007-09-30,0.3509,289
2007-10-16,0.331,289
2007-11-01,0.3164,289
2007-11-17,0.295,289
2007-12-03,0.2693,289
2007-12-19,0.0541,289
2008-01-01,0.2443,289
2008-01-17,0.0838,289
2008-02-02,0.1955,289
2008-02-18,0.1986,289
2008-03-05,0.2257,289
2008-03-21,0.2189,289
2008-04-06,0.2443,289
2008-04-22,0.3544,289
2008-05-08,0.4104,289
2008-05-24,0.5384,289
2008-06-09,0.5947,289
2008-06-25,0.629,289
2008-07-11,0.5815,289
2008-07-27,0.6369,289
2008-08-12,0.6052,289
2008-08-28,0.5062,289
2008-09-13,0.4335,289
2008-09-29,0.4011,289
2008-10-15,0.3396,289
2008-10-31,0.2701,289
2008-11-16,0.2393,289
2008-12-02,0.0381,289
2008-12-18,0.0039,289
2009-01-01,-0.0044,289
2009-01-17,0.0984,289
2009-02-02,0.0718,289
2009-02-18,-0.0027,289
2009-03-06,0.1908,289
2009-03-22,-0.0038,289
2009-04-07,0.2492,289
2009-04-23,0.3191,289
2009-05-09,0.4401,289
2009-05-25,0.5013,289
2009-06-10,0.5809,289
2009-06-26,0.5988,289
2009-07-12,0.6196,289
2009-07-28,0.5185,289
2009-08-13,0.4906,289
2009-08-29,0.4143,289
2009-09-14,0.3773,289
2009-09-30,0.3138,289
2009-10-16,0.2582,289
2009-11-01,0.2465,289
2009-11-17,0.2263,289
2009-12-03,0.046,289
2009-12-19,0.0058,289
2010-01-01,-0.0328,289
2010-01-17,-0.0327,289
2010-02-02,-0.0185,289
2010-02-18,-0.0267,289
2010-03-06,-0.014,289
2010-03-22,0.1948,289
2010-04-07,0.3305,289
2010-04-23,0.4272,289
2010-05-09,0.4934,289
2010-05-25,0.543,289
2010-06-10,0.6173,289
2010-06-26,0.6493,289
2010-07-12,0.5357,289
2010-07-28,0.565,289
2010-08-13,0.4965,289
2010-08-29,0.4247,289
2010-09-14,0.4272,289
2010-09-30,0.4019,289
2010-10-16,0.3578,289
2010-11-01,0.3286,289
2010-11-17,0.104,289
2010-12-03,0.0434,289
2010-12-19,-0.0104,289
2011-01-01,-0.0197,289
2011-01-17,-0.0467,289
2011-02-02,-0.0196,289
2011-02-18,-0.0151,289
2011-03-06,-0.0253,289
2011-03-22,0.2265,289
2011-04-07,0.2725,289
2011-04-23,0.3146,289
2011-05-09,0.4165,289
2011-05-25,0.5542,289
2011-06-10,0.6424,289
2011-06-26,0.6722,289
2011-07-12,0.6409,289
2011-07-28,0.5789,289
2011-08-13,0.5419,289
2011-08-29,0.4747,289
2011-09-14,0.4332,289
2011-09-30,0.3185,289
2011-10-16,0.3019,289
2011-11-01,0.2779,289
2011-11-17,0.2703,289
2011-12-03,0.2349,289
2011-12-19,0.2458,289
2012-01-01,0.2451,289
2012-01-17,0.2218,289
2012-02-02,0.224,289
2012-02-18,0.2165,289
2012-03-05,0.2251,289
2012-03-21,0.2916,289
2012-04-06,0.3502,289
2012-04-22,0.3996,289
2012-05-08,0.4733,289
2012-05-24,0.4892,289
2012-06-09,0.5214,289
2012-06-25,0.4419,289
2012-07-11,0.3909,289
2012-07-27,0.3368,289
2012-08-12,0.3056,289
2012-08-28,0.2747,289
2012-09-13,0.2585,289
2012-09-29,0.2589,289
2012-10-15,0.2285,289
2012-10-31,0.2235,289
2012-11-16,0.2076,289
2012-12-02,0.1987,289
2012-12-18,-0.0049,289
2013-01-01,0.0041,289
2013-01-17,0.0323,289
2013-02-02,0.1881,289
2013-02-18,0.1814,289
2013-03-06,0.1834,289
2013-03-22,0.188,289
2013-04-07,0.1044,289
2013-04-23,0.2372,289
2013-05-09,0.3323,289
2013-05-25,0.4909,289
2013-06-10,0.6154,289
2013-06-26,0.5547,289
2013-07-12,0.5341,289
2013-07-28,0.5249,289
2013-08-13,0.5159,289
2013-08-29,0.4575,289
2013-09-14,0.4588,289
2013-09-30,0.4204,289
2013-10-16,0.3506,289
2013-11-01,0.3112,289
2013-11-17,0.2712,289
2013-12-03,0.0159,289
2013-12-19,-0.0008,289
2014-01-01,0.0141,289
2014-01-17,0.2141,289
2014-02-02,0.0113,289
2014-02-18,0.0143,289
2014-03-06,0.2442,289
2014-03-22,0.2229,289
2014-04-07,0.2941,289
2014-04-23,0.3776,289
2014-05-09,0.472,289
2014-05-25,0.6418,289
2014-06-10,0.6765,289
2014-06-26,0.6903,289
2014-07-12,0.6602,289
2014-07-28,0.6421,289
2014-08-13,0.56,289
2014-08-29,0.6082,289
2014-09-14,0.5619,289
2014-09-30,0.4586,289
2014-10-16,0.3912,289
2014-11-01,0.3137,289
2014-11-17,0.2657,289
2014-12-03,0.2644,289
2014-12-19,0.2697,289
2015-01-01,0.0737,289
2015-01-17,0.2604,289
2015-02-02,0.2316,289
2015-02-18,0.2262,289
2015-03-06,0.2332,289
2015-03-22,0.2461,289
2015-04-07,0.2657,289
2015-04-23,0.3579,289
2015-05-09,0.3853,289
2015-05-25,0.5535,289
2015-06-10,0.6563,289
2015-06-26,0.6413,289
2015-07-12,0.554,289
2015-07-28,0.4804,289
2015-08-13,0.482,289
2015-08-29,0.4542,289
2015-09-14,0.3833,289
2015-09-30,0.3854,289
2015-10-16,0.3145,289
2015-11-01,0.2973,289
2015-11-17,0.2573,289
2015-12-03,0.2527,289
2015-12-19,-0.0232,288
2016-01-01,-0.028,289
2016-01-17,-0.0107,289
2016-02-02,-0.0185,289
2016-02-18,0.2295,289
2016-03-05,0.253,289
2016-03-21,0.2879,289
2016-04-06,0.3428,289
2016-04-22,0.4291,289
2016-05-08,0.5256,289
2016-05-24,0.523,289
2016-06-09,0.5349,289
2016-06-25,0.5063,289
2016-07-11,0.4567,289
2016-07-27,0.4979,289
2016-08-12,0.5116,289
2016-08-28,0.4748,289
2016-09-13,0.3764,289
2016-09-29,0.3398,289
2016-10-15,0.2998,289
2016-10-31,0.2923,289
2016-11-16,0.1791,289
2016-12-02,-0.0068,289
2016-12-18,-0.0477,289
2017-01-01,-0.034,289
2017-01-17,-0.0411,289
2017-02-02,-0.0328,289
2017-02-18,0.1635,289
2017-03-06,0.2119,289
2017-03-22,0.3053,289
2017-04-07,0.3946,289
2017-04-23,0.4361,289
2017-05-09,0.4749,289
2017-05-25,0.4677,289
2017-06-10,0.4043,289
2017-06-26,0.3689,289
2017-07-12,0.328,289
2017-07-28,0.3147,289
2017-08-13,0.5092,289
2017-08-29,0.4669,289
2017-09-14,0.4347,289
2017-09-30,0.4065,289
2017-10-16,0.3457,289
2017-11-01,0.3104,289
2017-11-17,0.2827,289
2017-12-03,0.2324,289
2017-12-19,0.2383,289
2018-01-01,0.0387,289
2018-01-17,0.2135,289
2018-02-02,-0.0146,289
2018-02-18,-0.0293,289
2018-03-06,-0.0164,289
2018-03-22,0.199,289
2018-04-07,0.2301,289
2018-04-23,0.3468,289
2018-05-09,0.5355,289
2018-05-25,0.6122,289
2018-06-10,0.5147,289
2018-06-26,0.6669,289
2018-07-12,0.6772,289
2018-07-28,0.5826,289
2018-08-13,0.4442,289
2018-08-29,0.4224,289
2018-09-14,0.4274,289
2018-09-30,0.3594,289
2018-10-16,0.3489,289
2018-11-01,0.3039,289
2018-11-17,0.2764,289
2018-12-03,0.2643,289
2018-12-19,0.2607,289
2019-01-01,0.1231,289
2019-01-17,0.0027,289
2019-02-02,-0.0164,289
2019-02-18,-0.0253,289
2019-03-06,-0.033,289
2019-03-22,0.206,289
2019-04-07,0.2393,289
2019-04-23,0.3735,289
2019-05-09,0.4567,289
2019-05-25,0.6204,289
2019-06-10,0.6825,289
2019-06-26,0.7245,289
2019-07-12,0.7445,289
2019-07-28,0.7328,289
2019-08-13,0.7362,289
2019-08-29,0.6442,289
2019-09-14,0.5943,289
2019-09-30,0.5606,289
2019-10-16,0.4404,289
2019-11-01,0.3206,289
2019-11-17,0.3098,289
2019-12-03,-0.03,289
2019-12-19,-0.0183,289
2020-01-01,-0.0246,289
2020-01-17,-0.0202,289
2020-02-02,-0.015,289
2020-02-18,-0.0153,289
2020-03-05,0.2031,289
2020-03-21,0.2232,289
2020-04-06,0.2773,289
2020-04-22,0.3506,289
2020-05-08,0.52,289
2020-05-24,0.6172,289
2020-06-09,0.6405,289
2020-06-25,0.6072,289
2020-07-11,0.5929,289
2020-07-27,0.5576,289
2020-08-12,0.4765,289
2020-08-28,0.4347,289
2020-09-13,0.3514,289
2020-09-29,0.3257,289
2020-10-15,0.2929,289
2020-10-31,0.2735,289
2020-11-16,0.2678,289
2020-12-02,0.2598,289
2020-12-18,0.2448,289
2021-01-01,0.244,289
2021-01-17,0.2296,289
2021-02-02,0.2212,289
2021-02-18,0.2205,289
2021-03-06,0.2184,289
2021-03-22,0.2443,289
2021-04-07,0.2717,289
2021-04-23,0.3132,289
2021-05-09,0.3888,289
2021-05-25,0.4725,289
2021-06-10,0.4656,289
2021-06-26,0.3697,289
2021-07-12,0.3591,289
2021-07-28,0.3292,289
2021-08-13,0.3569,289
2021-08-29,0.491,289
2021-09-14,0.458,289
