date,ndvi,pixel_count
2000-02-18,0.2144,289
2000-03-05,0.2366,289
2000-03-21,0.2302,289
2000-04-06,0.2412,289
2000-04-22,0.3266,289
2000-05-08,0.46,289
2000-05-24,0.4793,289
2000-06-09,0.462,289
2000-06-25,0.4709,289
2000-07-11,0.4745,289
2000-07-27,0.4485,289
2000-08-12,0.435,289
2000-08-28,0.4261,289
2000-09-13,0.3875,289
2000-09-29,0.3298,289
2000-10-15,0.2733,289
2000-10-31,0.2713,289
2000-11-16,-0.0182,289
2000-12-02,-0.0154,289
2000-12-18,-0.0063,289
2001-01-01,0.018,289
2001-01-17,-0.0241,289
2001-02-02,-0.0265,289
2001-02-18,-0.0287,289
2001-03-06,-0.0318,289
2001-03-22,0.1546,289
2001-04-07,0.2496,289
2001-04-23,0.3336,289
2001-05-09,0.4889,289
2001-05-25,0.6388,289
2001-06-10,0.6368,289
2001-06-26,0.5979,289
2001-07-12,0.5419,289
2001-07-28,0.5024,289
2001-08-13,0.4006,289
2001-08-29,0.3467,289
2001-09-14,0.3692,289
2001-09-30,0.3991,289
2001-10-16,0.3848,289
2001-11-01,0.3093,289
2001-11-17,0.2818,289
2001-12-03,0.1723,289
2001-12-19,0.1607,289
2002-01-01,0.2201,289
2002-01-17,0.2131,289
2002-02-02,0.2202,289
2002-02-18,0.2134,289
2002-03-06,0.0041,289
2002-03-22,0.1979,289
2002-04-07,0.2701,289
2002-04-23,0.3387,289
2002-05-09,0.4215,289
2002-05-25,0.4138,289
2002-06-10,0.3641,289
2002-06-26,0.4017,289
2002-07-12,0.3649,289
2002-07-28,0.3626,289
2002-08-13,0.3615,289
2002-08-29,0.3306,289
2002-09-14,0.3433,289
2002-09-30,0.3692,289
2002-10-16,0.2609,289
2002-11-01,0.2638,289
2002-11-17,0.2494,289
2002-12-03,0.2356,289
2002-12-19,0.2382,289
2003-01-01,0.2442,289
2003-01-17,0.0118,289
2003-02-02,0.042,289
2003-02-18,0.214,289
2003-03-06,0.2244,289
2003-03-22,0.2604,289
2003-04-07,0.3279,289
2003-04-23,0.4242,289
2003-05-09,0.564,289
2003-05-25,0.6532,289
2003-06-10,0.4933,289
2003-06-26,0.5391,289
2003-07-12,0.5371,289
2003-07-28,0.4288,289
2003-08-13,0.3762,289
2003-08-29,0.3174,289
2003-09-14,0.3704,289
2003-09-30,0.3223,289
2003-10-16,0.3112,289
2003-11-01,0.2314,289
2003-11-17,0.2834,289
2003-12-03,0.1271,289
2003-12-19,0.2289,289
2004-01-01,0.2364,289
2004-01-17,0.2328,289
2004-02-02,0.0224,289
2004-02-18,0.2085,289
2004-03-05,0.2287,289
2004-03-21,0.3035,289
2004-04-06,0.371,289
2004-04-22,0.3894,289
2004-05-08,0.3925,289
2004-05-24,0.519,289
2004-06-09,0.5059,289
2004-06-25,0.4924,289
2004-07-11,0.4694,289
2004-07-27,0.4955,289
2004-08-12,0.5129,289
2004-08-28,0.4848,289
2004-09-13,0.5609,289
2004-09-29,0.538,289
2004-10-15,0.4537,289
2004-10-31,0.3849,289
2004-11-16,0.3648,289
2004-12-02,0.3115,289
2004-12-18,0.2859,289
2005-01-01,0.236,289
2005-01-17,0.2508,289
2005-02-02,0.2471,289
2005-02-18,0.2426,289
2005-03-06,0.231,289
2005-03-22,0.2501,289
2005-04-07,0.3527,289
2005-04-23,0.4399,289
2005-05-09,0.5949,289
2005-05-25,0.6934,289
2005-06-10,0.7514,289
2005-06-26,0.6752,289
2005-07-12,0.4904,289
2005-07-28,0.3898,289
2005-08-13,0.3148,289
2005-08-29,0.2809,289
2005-09-14,0.3181,289
2005-09-30,0.3835,289
2005-10-16,0.394,289
2005-11-01,0.3524,289
2005-11-17,0.2727,289
2005-12-03,-0.0297,289
2005-12-19,0.037,289
2006-01-01,0.183,289
2006-01-17,0.2177,289
2006-02-02,0.23,289
2006-02-18,0.2256,289
2006-03-06,0.2368,289
2006-03-22,0.2533,289
2006-04-07,0.4186,289
2006-04-23,0.4491,289
2006-05-09,0.4654,289
2006-05-25,0.4057,289
2006-06-10,0.3491,289
2006-06-26,0.3411,289
2006-07-12,0.3005,289
2006-07-28,0.2949,289
2006-08-13,0.4776,289
2006-08-29,0.549,289
2006-09-14,0.5462,289
2006-09-30,0.5225,289
2006-10-16,0.4509,289
2006-11-01,0.3447,289
