date,ndvi,pixel_count
2000-02-18,0.2478,289
2000-03-05,0.2662,289
2000-03-21,0.2884,289
2000-04-06,0.3011,289
2000-04-22,0.4672,289
2000-05-08,0.5466,289
2000-05-24,0.6013,289
2000-06-09,0.6835,289
2000-06-25,0.7158,289
2000-07-11,0.7596,289
2000-07-27,0.6997,289
2000-08-12,0.766,289
2000-08-28,0.7131,289
2000-09-13,0.5501,289
2000-09-29,0.4605,289
2000-10-15,0.373,289
2000-10-31,0.3771,289
2000-11-16,-0.0113,289
2000-12-02,0.0092,289
2000-12-18,-0.0054,289
2001-01-01,-0.0174,289
2001-01-17,-0.0206,289
2001-02-02,-0.045,289
2001-02-18,-0.0344,289
2001-03-06,-0.0542,289
2001-03-22,-0.0334,289
2001-04-07,0.2515,289
2001-04-23,0.3307,289
2001-05-09,0.5561,289
2001-05-25,0.6148,289
2001-06-10,0.6077,289
2001-06-26,0.7191,289
2001-07-12,0.7392,289
2001-07-28,0.7874,289
2001-08-13,0.7237,289
2001-08-29,0.673,289
2001-09-14,0.5625,289
2001-09-30,0.4754,289
2001-10-16,0.4444,289
2001-11-01,0.3815,289
2001-11-17,0.3438,289
2001-12-03,0.0138,289
2001-12-19,0.2234,289
2002-01-01,0.2319,289
2002-01-17,0.223,289
2002-02-02,0.2308,289
2002-02-18,0.2547,289
2002-03-06,0.0194,289
2002-03-22,0.2365,289
2002-04-07,0.3095,289
2002-04-23,0.3948,289
2002-05-09,0.4858,289
2002-05-25,0.5928,289
2002-06-10,0.658,289
2002-06-26,0.7304,289
2002-07-12,0.7429,289
2002-07-28,0.677,289
2002-08-13,0.761,289
2002-08-29,0.7085,289
2002-09-14,0.7036,289
2002-09-30,0.5652,289
2002-10-16,0.4605,289
2002-11-01,0.4254,289
2002-11-17,0.3594,289
2002-12-03,0.3049,289
2002-12-19,0.2801,289
2003-01-01,0.2664,289
2003-01-17,0.2597,289
2003-02-02,0.2338,289
2003-02-18,0.2301,289
2003-03-06,0.2387,289
2003-03-22,0.2534,289
2003-04-07,0.317,289
2003-04-23,0.4175,289
2003-05-09,0.5721,289
2003-05-25,0.6032,289
2003-06-10,0.6697,289
2003-06-26,0.7421,289
2003-07-12,0.7028,289
2003-07-28,0.7179,289
2003-08-13,0.687,289
2003-08-29,0.6117,289
2003-09-14,0.5942,289
2003-09-30,0.4939,289
2003-10-16,0.4613,289
2003-11-01,0.2348,289
2003-11-17,0.3918,289
2003-12-03,0.0083,289
2003-12-19,0.2376,289
2004-01-01,0.2652,289
2004-01-17,0.2183,289
2004-02-02,-0.0205,289
2004-02-18,-0.0303,289
2004-03-05,0.2655,289
2004-03-21,0.3079,289
2004-04-06,0.361,289
2004-04-22,0.4625,289
2004-05-08,0.4764,289
2004-05-24,0.6441,289
2004-06-09,0.7149,289
2004-06-25,0.7145,289
2004-07-11,0.7671,289
2004-07-27,0.8202,289
2004-08-12,0.7873,289
2004-08-28,0.7361,289
2004-09-13,0.6988,289
2004-09-29,0.6123,289
2004-10-15,0.4784,289
2004-10-31,0.4415,289
2004-11-16,0.3632,289
2004-12-02,0.3328,289
2004-12-18,0.2739,289
2005-01-01,0.1235,289
2005-01-17,0.2602,289
2005-02-02,0.2541,289
2005-02-18,0.2458,289
2005-03-06,0.2396,289
2005-03-22,0.2467,289
2005-04-07,0.3569,289
2005-04-23,0.4484,289
2005-05-09,0.5424,289
2005-05-25,0.7098,289
2005-06-10,0.7136,289
2005-06-26,0.7943,289
2005-07-12,0.8071,289
2005-07-28,0.8246,289
2005-08-13,0.8148,289
2005-08-29,0.7628,289
2005-09-14,0.7088,289
2005-09-30,0.6006,289
2005-10-16,0.5318,289
2005-11-01,0.4497,289
2005-11-17,0.3832,289
2005-12-03,0.0003,289
2005-12-19,0.0371,289
2006-01-01,-0.0095,289
2006-01-17,0.031,289
2006-02-02,0.2203,289
2006-02-18,0.2183,289
2006-03-06,0.2469,289
2006-03-22,0.2516,289
2006-04-07,0.299,289
2006-04-23,0.4958,289
2006-05-09,0.5739,289
2006-05-25,0.6508,289
2006-06-10,0.7174,289
2006-06-26,0.7653,289
2006-07-12,0.7089,289
2006-07-28,0.7456,289
2006-08-13,0.7845,289
2006-08-29,0.7747,289
2006-09-14,0.7062,289
2006-09-30,0.5075,289
2006-10-16,0.3918,289
2006-11-01,0.3873,289
2006-11-17,0.3201,289
2006-12-03,0.2848,289
2006-12-19,0.1616,289
2007-01-01,0.1784,289
2007-01-17,0.0282,289
2007-02-02,0.0196,289
2007-02-18,0.1238,289
2007-03-06,0.2245,289
2007-03-22,0.2512,289
2007-04-07,0.2769,289
2007-04-23,0.4041,289
2007-05-09,0.5425,289
2007-05-25,0.657,289
2007-06-10,0.7458,289
2007-06-26,0.7664,289
2007-07-12,0.7493,289
