date,ndvi,pixel_count
2000-02-18,0.2152,289
2000-03-05,0.2043,289
2000-03-21,0.2166,289
2000-04-06,0.2368,289
2000-04-22,0.274,289
2000-05-08,0.3693,289
2000-05-24,0.4417,289
2000-06-09,0.4551,289
2000-06-25,0.4596,289
2000-07-11,0.4285,289
2000-07-27,0.403,289
2000-08-12,0.345,289
2000-08-28,0.3461,289
2000-09-13,0.3294,289
2000-09-29,0.3138,289
2000-10-15,0.2637,289
2000-10-31,0.233,289
2000-11-16,0.2179,289
2000-12-02,0.0181,289
2000-12-18,0.0144,289
2001-01-01,0.2189,289
2001-01-17,0.2057,289
2001-02-02,0.0038,289
2001-02-18,-0.0149,289
2001-03-06,0.1942,289
2001-03-22,0.2143,289
2001-04-07,0.2611,289
2001-04-23,0.3535,289
2001-05-09,0.4275,289
2001-05-25,0.4974,289
2001-06-10,0.5196,289
2001-06-26,0.4559,289
2001-07-12,0.4332,289
2001-07-28,0.4194,289
2001-08-13,0.3739,289
2001-08-29,0.3321,289
2001-09-14,0.294,289
2001-09-30,0.272,289
2001-10-16,0.2562,289
2001-11-01,0.243,289
2001-11-17,0.0856,289
2001-12-03,0.2132,289
2001-12-19,0.2153,289
2002-01-01,0.1961,289
2002-01-17,0.2146,289
2002-02-02,0.2045,289
2002-02-18,0.1678,289
2002-03-06,-0.0055,289
2002-03-22,0.1691,289
2002-04-07,0.2331,289
2002-04-23,0.3067,289
2002-05-09,0.3327,289
2002-05-25,0.3891,289
2002-06-10,0.3689,289
2002-06-26,0.3178,289
2002-07-12,0.2981,289
2002-07-28,0.2949,289
2002-08-13,0.3051,289
2002-08-29,0.3063,289
2002-09-14,0.3803,289
2002-09-30,0.3976,289
2002-10-16,0.363,289
2002-11-01,0.325,289
2002-11-17,0.3003,289
2002-12-03,0.2789,289
2002-12-19,0.2692,289
2003-01-01,0.2657,289
2003-01-17,0.2622,289
2003-02-02,0.1443,289
2003-02-18,0.2335,289
2003-03-06,0.2318,289
2003-03-22,0.2542,289
2003-04-07,0.3113,289
2003-04-23,0.3799,289
2003-05-09,0.4642,289
2003-05-25,0.5085,289
2003-06-10,0.477,289
2003-06-26,0.4176,289
2003-07-12,0.3382,289
2003-07-28,0.3241,289
2003-08-13,0.3205,289
2003-08-29,0.3274,289
2003-09-14,0.3467,289
2003-09-30,0.334,289
2003-10-16,0.2882,289
2003-11-01,0.2469,289
2003-11-17,0.24,289
2003-12-03,0.2057,289
2003-12-19,0.2174,289
2004-01-01,0.217,289
2004-01-17,0.2166,289
2004-02-02,0.2039,289
2004-02-18,0.1997,289
2004-03-05,0.2149,289
2004-03-21,0.2621,289
