date,ndvi,pixel_count
2000-02-18,0.2042,289
2000-03-05,0.2298,289
2000-03-21,0.2406,289
2000-04-06,0.2677,289
2000-04-22,0.3819,289
2000-05-08,0.5262,289
2000-05-24,0.5171,289
2000-06-09,0.4824,289
2000-06-25,0.4619,289
2000-07-11,0.3906,289
2000-07-27,0.3448,289
2000-08-12,0.3215,289
2000-08-28,0.3009,289
2000-09-13,0.2781,289
2000-09-29,0.2652,289
2000-10-15,0.223,289
2000-10-31,0.21,289
2000-11-16,-0.0248,289
2000-12-02,-0.02,289
2000-12-18,-0.0048,289
2001-01-01,0.0572,289
2001-01-17,-0.029,289
2001-02-02,-0.032,289
2001-02-18,-0.0309,288
2001-03-06,-0.0536,289
2001-03-22,0.1535,289
2001-04-07,0.2121,289
2001-04-23,0.2835,289
2001-05-09,0.4547,289
2001-05-25,0.5708,289
2001-06-10,0.5758,289
2001-06-26,0.5582,289
2001-07-12,0.4634,289
2001-07-28,0.4459,289
2001-08-13,0.3762,289
2001-08-29,0.3272,289
2001-09-14,0.3566,289
2001-09-30,0.3928,289
2001-10-16,0.3798,289
2001-11-01,0.3145,289
2001-11-17,0.2801,289
2001-12-03,-0.0082,289
2001-12-19,0.0361,289
2002-01-01,0.031,289
2002-01-17,0.077,289
2002-02-02,0.2144,289
2002-02-18,0.2181,289
2002-03-06,0.005,289
2002-03-22,0.1944,289
2002-04-07,0.2667,289
2002-04-23,0.3352,289
2002-05-09,0.4124,289
2002-05-25,0.3698,289
2002-06-10,0.3542,289
2002-06-26,0.3302,289
2002-07-12,0.3177,289
2002-07-28,0.342,289
2002-08-13,0.355,289
2002-08-29,0.3499,289
2002-09-14,0.3504,289
2002-09-30,0.3826,289
2002-10-16,0.2943,289
2002-11-01,0.2745,289
2002-11-17,0.2598,289
2002-12-03,0.2417,289
2002-12-19,0.2322,289
2003-01-01,0.236,289
2003-01-17,-0.0033,289
2003-02-02,0.0182,289
2003-02-18,0.181,289
2003-03-06,0.2181,289
2003-03-22,0.2753,289
2003-04-07,0.3521,289
2003-04-23,0.4218,289
2003-05-09,0.5303,289
2003-05-25,0.6197,289
2003-06-10,0.5735,289
2003-06-26,0.5822,289
2003-07-12,0.5862,289
2003-07-28,0.4485,289
2003-08-13,0.4025,289
2003-08-29,0.3531,289
2003-09-14,0.3509,289
2003-09-30,0.2802,289
2003-10-16,0.2559,289
2003-11-01,0.2254,289
2003-11-17,0.233,289
2003-12-03,0.0638,289
2003-12-19,0.1895,289
2004-01-01,0.1893,289
2004-01-17,0.2,289
2004-02-02,0.027,289
2004-02-18,0.1868,289
2004-03-05,0.1989,289
2004-03-21,0.2672,289
2004-04-06,0.3301,289
2004-04-22,0.3503,289
2004-05-08,0.3615,289
2004-05-24,0.4937,289
2004-06-09,0.5197,289
2004-06-25,0.4862,289
2004-07-11,0.3848,289
2004-07-27,0.3778,289
2004-08-12,0.4124,289
2004-08-28,0.3951,289
2004-09-13,0.4488,289
2004-09-29,0.475,289
2004-10-15,0.4457,289
2004-10-31,0.4059,289
2004-11-16,0.389,289
2004-12-02,0.342,289
2004-12-18,0.2968,289
2005-01-01,0.0764,289
2005-01-17,0.2701,289
2005-02-02,0.2603,289
2005-02-18,0.2645,289
2005-03-06,0.2521,289
2005-03-22,0.2675,289
2005-04-07,0.3476,289
2005-04-23,0.4272,289
2005-05-09,0.5291,289
2005-05-25,0.6197,289
2005-06-10,0.661,289
2005-06-26,0.5822,289
2005-07-12,0.4675,289
2005-07-28,0.4164,289
2005-08-13,0.3785,289
2005-08-29,0.3557,289
2005-09-14,0.3677,289
2005-09-30,0.3753,289
2005-10-16,0.3484,289
2005-11-01,0.2983,289
2005-11-17,0.2513,289
2005-12-03,-0.0171,289
2005-12-19,0.0688,289
2006-01-01,0.1696,289
2006-01-17,0.1918,289
2006-02-02,0.2057,289
2006-02-18,0.2046,289
2006-03-06,0.2211,289
2006-03-22,0.2226,289
2006-04-07,0.3612,289
2006-04-23,0.3901,289
2006-05-09,0.4147,289
2006-05-25,0.3682,289
2006-06-10,0.3525,289
2006-06-26,0.3474,289
2006-07-12,0.3043,289
2006-07-28,0.2903,289
2006-08-13,0.3719,289
2006-08-29,0.4087,289
2006-09-14,0.5399,289
2006-09-30,0.5376,289
2006-10-16,0.4658,289
2006-11-01,0.3631,289
2006-11-17,0.3088,289
2006-12-03,0.2778,289
2006-12-19,0.1872,289
2007-01-01,0.1728,289
2007-01-17,0.2001,289
2007-02-02,0.026,289
2007-02-18,0.0021,289
2007-03-06,0.2244,289
2007-03-22,0.3044,289
2007-04-07,0.3032,289
2007-04-23,0.5087,289
2007-05-09,0.5875,289
2007-05-25,0.6353,289
2007-06-10,0.5757,289
2007-06-26,0.5208,289
2007-07-12,0.3296,289
2007-07-28,0.3667,289
2007-08-13,0.4455,289
2007-08-29,0.4367,289
2007-09-14,0.4092,289
2007-09-30,0.3058,289
2007-10-16,0.307,289
2007-11-01,0.2945,289
2007-11-17,0.2757,289
2007-12-03,0.1695,289
2007-12-19,0.1934,289
2008-01-01,0.2387,289
2008-01-17,0.1743,289
2008-02-02,0.1509,289
2008-02-18,0.2089,289
2008-03-05,0.2096,289
2008-03-21,0.2211,289
2008-04-06,0.2454,289
2008-04-22,0.3435,289
2008-05-08,0.4388,289
2008-05-24,0.5609,289
2008-06-09,0.6283,289
2008-06-25,0.6254,289
2008-07-11,0.5147,289
2008-07-27,0.5366,289
2008-08-12,0.5598,289
2008-08-28,0.4262,289
2008-09-13,0.4362,289
2008-09-29,0.4006,289
2008-10-15,0.342,289
2008-10-31,0.282,289
2008-11-16,0.2556,289
2008-12-02,0.1095,289
2008-12-18,0.0047,289
2009-01-01,0.0245,289
2009-01-17,0.0704,289
2009-02-02,0.2126,289
2009-02-18,0.1982,289
2009-03-06,0.2,289
2009-03-22,0.1659,289
2009-04-07,0.3001,289
2009-04-23,0.3821,289
2009-05-09,0.4487,289
2009-05-25,0.4604,289
2009-06-10,0.4887,289
2009-06-26,0.5103,289
2009-07-12,0.498,289
2009-07-28,0.4957,289
2009-08-13,0.5419,289
2009-08-29,0.492,289
2009-09-14,0.3716,289
2009-09-30,0.3533,289
2009-10-16,0.285,289
