date,ndvi,pixel_count
2000-02-18,0.2375,289
2000-03-05,0.236,289
2000-03-21,0.2404,289
2000-04-06,0.2542,289
2000-04-22,0.3034,289
2000-05-08,0.4234,289
2000-05-24,0.5334,289
2000-06-09,0.591,289
2000-06-25,0.5851,289
2000-07-11,0.6004,289
2000-07-27,0.5352,289
2000-08-12,0.4375,289
2000-08-28,0.4236,289
2000-09-13,0.39,289
2000-09-29,0.3327,289
2000-10-15,0.2983,289
2000-10-31,0.2702,289
2000-11-16,0.0136,289
2000-12-02,0.035,289
2000-12-18,0.0461,289
2001-01-01,0.1627,289
2001-01-17,0.0582,289
2001-02-02,0.01,289
2001-02-18,0.0123,289
2001-03-06,0.0691,289
2001-03-22,0.2235,289
2001-04-07,0.2546,289
2001-04-23,0.3788,289
2001-05-09,0.3826,289
2001-05-25,0.5308,289
2001-06-10,0.5712,289
2001-06-26,0.6122,289
2001-07-12,0.6489,289
2001-07-28,0.6026,289
2001-08-13,0.5413,289
2001-08-29,0.4716,289
2001-09-14,0.4067,289
2001-09-30,0.3592,289
2001-10-16,0.3279,289
2001-11-01,0.298,289
2001-11-17,0.1747,289
2001-12-03,0.132,289
2001-12-19,0.2085,289
2002-01-01,0.2431,289
2002-01-17,0.2324,289
2002-02-02,0.2334,289
2002-02-18,0.206,289
2002-03-06,0.0221,289
2002-03-22,0.2067,289
2002-04-07,0.2491,289
2002-04-23,0.2894,289
2002-05-09,0.3354,289
2002-05-25,0.4407,289
2002-06-10,0.4634,289
2002-06-26,0.4011,289
2002-07-12,0.3461,289
2002-07-28,0.3404,289
2002-08-13,0.3432,289
2002-08-29,0.369,289
2002-09-14,0.399,289
2002-09-30,0.3862,289
2002-10-16,0.3521,289
2002-11-01,0.3109,289
2002-11-17,0.2988,289
2002-12-03,0.2783,289
2002-12-19,0.2755,289
2003-01-01,0.2749,289
2003-01-17,0.1087,289
2003-02-02,0.0319,289
2003-02-18,0.2372,289
2003-03-06,0.2417,289
2003-03-22,0.2468,289
2003-04-07,0.2552,289
2003-04-23,0.3765,289
2003-05-09,0.4907,289
2003-05-25,0.5943,289
2003-06-10,0.6059,289
2003-06-26,0.6158,289
2003-07-12,0.5065,289
2003-07-28,0.4394,289
2003-08-13,0.3787,289
2003-08-29,0.3556,289
2003-09-14,0.3386,289
2003-09-30,0.2961,289
2003-10-16,0.2752,289
2003-11-01,0.2499,289
2003-11-17,0.2231,289
2003-12-03,0.2243,289
2003-12-19,0.1381,289
2004-01-01,0.0852,289
