date,ndvi,pixel_count
2000-02-18,0.2409,289
2000-03-05,0.2387,289
2000-03-21,0.2423,289
2000-04-06,0.2555,289
2000-04-22,0.3028,289
2000-05-08,0.4256,289
2000-05-24,0.5353,289
2000-06-09,0.5911,289
2000-06-25,0.5911,289
2000-07-11,0.6096,289
2000-07-27,0.5427,289
2000-08-12,0.4439,289
2000-08-28,0.4288,289
2000-09-13,0.3938,289
2000-09-29,0.3365,289
2000-10-15,0.3026,289
2000-10-31,0.2764,289
2000-11-16,0.016,289
2000-12-02,0.0382,289
2000-12-18,0.0494,289
2001-01-01,0.1633,289
2001-01-17,0.0608,289
2001-02-02,0.0115,289
2001-02-18,0.0128,289
2001-03-06,0.0602,289
2001-03-22,0.2269,289
2001-04-07,0.2587,289
2001-04-23,0.3777,289
2001-05-09,0.3875,289
2001-05-25,0.5448,289
2001-06-10,0.5812,289
2001-06-26,0.6212,289
2001-07-12,0.6515,289
2001-07-28,0.6064,289
2001-08-13,0.5448,289
2001-08-29,0.4766,289
2001-09-14,0.4113,289
2001-09-30,0.3635,289
2001-10-16,0.3323,289
2001-11-01,0.3022,289
2001-11-17,0.1768,289
2001-12-03,0.1314,289
2001-12-19,0.2042,289
2002-01-01,0.2469,289
2002-01-17,0.2362,289
2002-02-02,0.2361,289
2002-02-18,0.2109,289
2002-03-06,0.0241,289
2002-03-22,0.212,289
2002-04-07,0.2544,289
2002-04-23,0.2933,289
2002-05-09,0.3495,289
2002-05-25,0.4473,289
2002-06-10,0.4676,289
2002-06-26,0.41,289
2002-07-12,0.355,289
2002-07-28,0.3483,289
2002-08-13,0.3495,289
2002-08-29,0.3789,289
2002-09-14,0.4101,289
2002-09-30,0.3946,289
2002-10-16,0.3575,289
2002-11-01,0.3185,289
2002-11-17,0.3058,289
2002-12-03,0.2849,289
2002-12-19,0.2821,289
2003-01-01,0.2819,289
2003-01-17,0.1496,289
2003-02-02,0.037,289
2003-02-18,0.2391,289
2003-03-06,0.2471,289
2003-03-22,0.2487,289
2003-04-07,0.2626,289
2003-04-23,0.3821,289
2003-05-09,0.4979,289
2003-05-25,0.6065,289
2003-06-10,0.6117,289
2003-06-26,0.6246,289
2003-07-12,0.5142,289
2003-07-28,0.448,289
2003-08-13,0.3855,289
2003-08-29,0.3607,289
2003-09-14,0.3451,289
2003-09-30,0.3007,289
2003-10-16,0.28,289
2003-11-01,0.2554,289
2003-11-17,0.2281,289
2003-12-03,0.231,289
2003-12-19,0.1311,289
2004-01-01,0.0864,289
2004-01-17,0.2164,289
2004-02-02,0.0955,289
2004-02-18,0.2203,289
2004-03-05,0.2192,289
2004-03-21,0.2422,289
2004-04-06,0.2693,289
2004-04-22,0.3341,289
2004-05-08,0.3446,289
2004-05-24,0.3953,289
2004-06-09,0.3832,289
2004-06-25,0.3942,289
2004-07-11,0.3878,289
2004-07-27,0.3669,289
2004-08-12,0.3392,289
2004-08-28,0.3469,289
2004-09-13,0.3959,289
2004-09-29,0.4211,289
2004-10-15,0.4388,289
2004-10-31,0.3915,289
2004-11-16,0.3443,289
2004-12-02,0.316,289
2004-12-18,0.2833,289
2005-01-01,0.0131,289
2005-01-17,0.2832,289
2005-02-02,0.278,289
2005-02-18,0.2605,289
2005-03-06,0.2603,289
2005-03-22,0.2795,289
2005-04-07,0.3064,289
2005-04-23,0.3797,289
2005-05-09,0.4517,289
2005-05-25,0.5531,289
2005-06-10,0.6099,289
2005-06-26,0.5734,289
2005-07-12,0.5247,289
2005-07-28,0.5183,289
2005-08-13,0.5271,289
2005-08-29,0.4928,289
2005-09-14,0.4421,289
2005-09-30,0.3762,289
2005-10-16,0.3339,289
2005-11-01,0.3003,289
2005-11-17,0.3037,289
2005-12-03,0.0656,289
2005-12-19,0.2631,289
2006-01-01,0.2641,289
2006-01-17,0.2678,289
2006-02-02,0.2585,289
2006-02-18,0.2398,289
2006-03-06,-0.0006,289
2006-03-22,0.2523,289
2006-04-07,0.2975,289
2006-04-23,0.3535,289
2006-05-09,0.4297,289
2006-05-25,0.4953,289
2006-06-10,0.5137,289
2006-06-26,0.4552,289
2006-07-12,0.4288,289
2006-07-28,0.389,289
2006-08-13,0.3782,289
2006-08-29,0.3808,289
2006-09-14,0.4128,289
2006-09-30,0.4128,289
2006-10-16,0.3817,289
2006-11-01,0.3216,289
2006-11-17,0.3173,289
2006-12-03,0.2987,289
2006-12-19,0.2739,289
2007-01-01,0.269,289
2007-01-17,0.2531,289
2007-02-02,0.0962,289
2007-02-18,0.2475,289
2007-03-06,0.2355,289
2007-03-22,0.3154,289
2007-04-07,0.3248,289
2007-04-23,0.4319,289
2007-05-09,0.5422,289
2007-05-25,0.5826,289
2007-06-10,0.608,289
2007-06-26,0.5384,289
2007-07-12,0.4399,289
2007-07-28,0.4104,289
2007-08-13,0.4169,289
2007-08-29,0.4551,289
2007-09-14,0.4321,289
2007-09-30,0.378,289
2007-10-16,0.3392,289
2007-11-01,0.3147,289
2007-11-17,0.311,289
2007-12-03,0.04,289
2007-12-19,0.0326,289
2008-01-01,0.2009,289
2008-01-17,0.042,289
2008-02-02,0.0813,289
2008-02-18,0.2399,289
2008-03-05,0.2641,289
2008-03-21,0.2609,289
2008-04-06,0.2752,289
2008-04-22,0.288,289
2008-05-08,0.4255,289
2008-05-24,0.5392,289
2008-06-09,0.6218,289
2008-06-25,0.607,289
2008-07-11,0.5463,289
2008-07-27,0.5436,289
2008-08-12,0.5217,289
2008-08-28,0.4804,289
2008-09-13,0.4118,289
2008-09-29,0.3897,289
2008-10-15,0.3462,289
2008-10-31,0.3046,289
2008-11-16,0.2369,289
2008-12-02,0.0451,289
2008-12-18,0.1771,289
2009-01-01,0.2295,289
2009-01-17,0.1877,289
2009-02-02,0.2324,289
2009-02-18,0.1711,289
2009-03-06,0.2392,289
2009-03-22,0.168,289
2009-04-07,0.2786,289
2009-04-23,0.3306,289
2009-05-09,0.4093,289
2009-05-25,0.482,289
2009-06-10,0.6026,289
2009-06-26,0.5987,289
2009-07-12,0.6153,289
2009-07-28,0.569,289
2009-08-13,0.5575,289
2009-08-29,0.499,289
2009-09-14,0.4362,289
2009-09-30,0.3774,289
2009-10-16,0.3421,289
2009-11-01,0.298,289
2009-11-17,0.2969,289
2009-12-03,0.0637,289
2009-12-19,-0.0033,289
2010-01-01,0.0016,289
2010-01-17,0.0456,289
2010-02-02,0.045,289
2010-02-18,0.0639,289
2010-03-06,0.1113,289
2010-03-22,0.2257,289
2010-04-07,0.3278,289
2010-04-23,0.3759,289
2010-05-09,0.4441,289
2010-05-25,0.5095,289
2010-06-10,0.6036,289
2010-06-26,0.604,289
2010-07-12,0.5762,289
2010-07-28,0.525,289
2010-08-13,0.461,289
2010-08-29,0.416,289
2010-09-14,0.3677,289
2010-09-30,0.3496,289
2010-10-16,0.3566,289
2010-11-01,0.345,289
2010-11-17,0.2916,289
2010-12-03,0.3229,289
2010-12-19,0.2943,289
2011-01-01,0.0393,289
2011-01-17,0.118,289
2011-02-02,0.2455,289
2011-02-18,0.2892,289
2011-03-06,0.2644,289
2011-03-22,0.2744,289
2011-04-07,0.3446,289
2011-04-23,0.3751,289
2011-05-09,0.3987,289
2011-05-25,0.5583,289
2011-06-10,0.6272,289
2011-06-26,0.6476,289
2011-07-12,0.6569,289
2011-07-28,0.6279,289
2011-08-13,0.5866,289
2011-08-29,0.554,289
2011-09-14,0.5267,289
2011-09-30,0.3917,289
2011-10-16,0.3726,289
2011-11-01,0.327,289
2011-11-17,0.3206,289
2011-12-03,0.312,289
2011-12-19,0.3098,289
2012-01-01,0.3049,289
2012-01-17,0.2298,289
2012-02-02,0.2788,289
2012-02-18,0.1853,289
2012-03-05,0.2647,289
2012-03-21,0.2914,289
2012-04-06,0.3855,289
2012-04-22,0.4139,289
2012-05-08,0.467,289
2012-05-24,0.491,289
2012-06-09,0.5394,289
2012-06-25,0.5429,289
2012-07-11,0.4606,289
2012-07-27,0.4149,289
2012-08-12,0.3956,289
2012-08-28,0.3529,289
2012-09-13,0.3276,289
2012-09-29,0.3023,289
2012-10-15,0.292,289
2012-10-31,0.2825,289
2012-11-16,0.2726,289
2012-12-02,0.274,289
2012-12-18,0.0556,289
2013-01-01,0.0508,289
2013-01-17,0.0616,289
2013-02-02,0.2047,289
2013-02-18,0.1867,289
2013-03-06,0.2443,289
2013-03-22,0.2555,289
2013-04-07,0.2828,289
2013-04-23,0.2962,289
2013-05-09,0.354,289
2013-05-25,0.5637,289
2013-06-10,0.6422,289
2013-06-26,0.6462,289
2013-07-12,0.5452,289
2013-07-28,0.5458,289
2013-08-13,0.5518,289
2013-08-29,0.538,289
2013-09-14,0.4842,289
2013-09-30,0.4671,289
2013-10-16,0.418,289
2013-11-01,0.3592,289
2013-11-17,0.1703,289
2013-12-03,0.0341,289
2013-12-19,0.0898,289
2014-01-01,0.2763,289
2014-01-17,0.2836,289
2014-02-02,0.2829,289
2014-02-18,0.1742,289
2014-03-06,0.2689,289
2014-03-22,0.2709,289
2014-04-07,0.3195,289
2014-04-23,0.3883,289
2014-05-09,0.4641,289
2014-05-25,0.6382,289
2014-06-10,0.6315,289
2014-06-26,0.6421,289
2014-07-12,0.6241,289
2014-07-28,0.6418,289
2014-08-13,0.5928,289
2014-08-29,0.5802,289
2014-09-14,0.5065,289
2014-09-30,0.4846,289
2014-10-16,0.4091,289
2014-11-01,0.3744,289
2014-11-17,0.3257,289
2014-12-03,0.3357,289
2014-12-19,0.1299,289
2015-01-01,0.0253,289
2015-01-17,0.2713,289
2015-02-02,0.2898,289
2015-02-18,0.277,289
2015-03-06,0.265,289
2015-03-22,0.2852,289
2015-04-07,0.3118,289
2015-04-23,0.3678,289
2015-05-09,0.4893,289
2015-05-25,0.6062,289
2015-06-10,0.6847,289
2015-06-26,0.7394,289
2015-07-12,0.7166,289
2015-07-28,0.6829,289
2015-08-13,0.6213,289
2015-08-29,0.55,289
2015-09-14,0.4859,289
2015-09-30,0.4195,289
2015-10-16,0.4018,289
2015-11-01,0.3468,289
2015-11-17,0.2262,289
2015-12-03,0.3103,289
2015-12-19,0.0233,289
2016-01-01,0.0191,289
2016-01-17,0.0293,289
2016-02-02,0.1425,289
2016-02-18,0.2767,289
2016-03-05,0.2838,289
2016-03-21,0.283,289
2016-04-06,0.3296,289
2016-04-22,0.3839,289
2016-05-08,0.4698,289
2016-05-24,0.553,289
2016-06-09,0.6098,289
2016-06-25,0.6311,289
2016-07-11,0.6362,289
2016-07-27,0.6068,289
2016-08-12,0.581,289
2016-08-28,0.5792,289
2016-09-13,0.5087,289
2016-09-29,0.4381,289
2016-10-15,0.3752,289
2016-10-31,0.358,289
2016-11-16,0.3749,289
2016-12-02,0.101,289
2016-12-18,0.0378,289
2017-01-01,0.0411,289
2017-01-17,0.0288,289
2017-02-02,0.0836,289
2017-02-18,0.285,289
2017-03-06,0.2828,289
2017-03-22,0.3063,289
2017-04-07,0.3607,289
2017-04-23,0.4283,289
2017-05-09,0.5172,289
2017-05-25,0.5521,289
2017-06-10,0.6696,289
2017-06-26,0.6273,289
2017-07-12,0.574,289
2017-07-28,0.5208,289
2017-08-13,0.5349,289
2017-08-29,0.4871,289
2017-09-14,0.5019,289
2017-09-30,0.4401,289
2017-10-16,0.391,289
2017-11-01,0.351,289
2017-11-17,0.3637,289
2017-12-03,0.3176,289
2017-12-19,0.3234,289
2018-01-01,0.1148,289
2018-01-17,0.0347,289
2018-02-02,0.0578,289
2018-02-18,0.055,289
2018-03-06,0.2661,289
2018-03-22,0.2745,289
2018-04-07,0.3029,289
2018-04-23,0.3207,289
2018-05-09,0.5516,289
2018-05-25,0.6228,289
2018-06-10,0.6298,289
2018-06-26,0.6735,289
2018-07-12,0.6541,289
2018-07-28,0.6006,289
2018-08-13,0.5914,289
2018-08-29,0.5307,289
2018-09-14,0.4942,289
2018-09-30,0.4471,289
2018-10-16,0.4147,289
2018-11-01,0.3643,289
2018-11-17,0.3412,289
2018-12-03,0.1163,289
2018-12-19,0.3113,289
2019-01-01,0.2678,289
2019-01-17,0.2379,289
2019-02-02,0.1346,289
2019-02-18,0.0536,289
2019-03-06,0.0016,289
2019-03-22,0.2558,289
2019-04-07,0.2936,289
2019-04-23,0.3533,289
2019-05-09,0.3905,289
2019-05-25,0.6017,289
2019-06-10,0.6592,289
2019-06-26,0.7027,289
2019-07-12,0.7171,289
2019-07-28,0.6953,289
2019-08-13,0.6785,289
2019-08-29,0.6408,289
2019-09-14,0.5872,289
2019-09-30,0.5152,289
2019-10-16,0.4444,289
2019-11-01,0.3698,289
2019-11-17,0.3644,289
2019-12-03,0.0652,289
2019-12-19,0.18,289
2020-01-01,0.1399,289
2020-01-17,0.1093,289
2020-02-02,0.1896,289
2020-02-18,0.2366,289
2020-03-05,0.242,289
2020-03-21,0.2868,289
2020-04-06,0.3045,289
2020-04-22,0.3615,289
2020-05-08,0.4439,289
2020-05-24,0.5807,289
2020-06-09,0.6627,289
2020-06-25,0.6553,289
2020-07-11,0.6763,289
2020-07-27,0.6509,289
2020-08-12,0.5674,289
2020-08-28,0.4997,289
2020-09-13,0.4566,289
2020-09-29,0.396,289
2020-10-15,0.3497,289
2020-10-31,0.3446,289
2020-11-16,0.3422,289
2020-12-02,0.3291,289
2020-12-18,0.3137,289
2021-01-01,0.2767,289
2021-01-17,0.2956,289
