date,ndvi,pixel_count
2000-02-18,0.2244,289
2000-03-05,0.2492,289
2000-03-21,0.2695,289
2000-04-06,0.3264,289
2000-04-22,0.4163,289
2000-05-08,0.5629,289
2000-05-24,0.5968,289
2000-06-09,0.6309,289
2000-06-25,0.675,289
2000-07-11,0.6509,289
2000-07-27,0.5897,289
2000-08-12,0.5271,289
2000-08-28,0.4903,289
2000-09-13,0.4434,289
2000-09-29,0.3781,289
2000-10-15,0.3232,289
2000-10-31,0.3606,289
2000-11-16,0.0162,289
2000-12-02,0.0577,289
2000-12-18,0.0201,289
2001-01-01,0.1848,289
2001-01-17,0.0002,289
2001-02-02,-0.0122,289
2001-02-18,-0.012,289
2001-03-06,0.1423,289
2001-03-22,0.2326,289
2001-04-07,0.3142,289
2001-04-23,0.4408,289
2001-05-09,0.616,289
2001-05-25,0.6717,289
2001-06-10,0.6791,289
2001-06-26,0.6599,289
2001-07-12,0.7038,289
2001-07-28,0.5821,289
2001-08-13,0.4889,289
2001-08-29,0.417,289
2001-09-14,0.4619,289
2001-09-30,0.4501,288
2001-10-16,0.4391,289
2001-11-01,0.3738,288
2001-11-17,0.3451,286
2001-12-03,0.0047,289
2001-12-19,0.0807,289
2002-01-01,0.2466,289
2002-01-17,0.2201,289
2002-02-02,0.2212,289
2002-02-18,0.2156,289
2002-03-06,0.035,289
2002-03-22,0.2074,289
2002-04-07,0.3446,288
2002-04-23,0.4116,289
2002-05-09,0.5118,289
2002-05-25,0.5071,289
2002-06-10,0.511,289
2002-06-26,0.4278,289
2002-07-12,0.389,289
2002-07-28,0.3562,289
2002-08-13,0.341,289
2002-08-29,0.3393,289
2002-09-14,0.422,289
2002-09-30,0.5682,289
2002-10-16,0.5298,289
2002-11-01,0.4736,288
2002-11-17,0.4361,289
2002-12-03,0.3757,289
2002-12-19,0.3497,287
2003-01-01,0.329,288
2003-01-17,-0.0016,289
2003-02-02,0.0243,289
2003-02-18,0.1459,289
2003-03-06,0.2766,289
2003-03-22,0.3187,289
2003-04-07,0.353,289
2003-04-23,0.5254,289
2003-05-09,0.6076,289
2003-05-25,0.6196,289
2003-06-10,0.5363,289
2003-06-26,0.5632,289
2003-07-12,0.5144,289
2003-07-28,0.4359,289
2003-08-13,0.3935,289
2003-08-29,0.356,289
2003-09-14,0.3457,289
2003-09-30,0.3276,289
2003-10-16,0.3034,288
2003-11-01,0.2263,288
2003-11-17,-0.0063,289
2003-12-03,0.0569,289
2003-12-19,0.2008,289
2004-01-01,0.127,289
2004-01-17,0.215,289
2004-02-02,0.0497,289
2004-02-18,0.1958,289
2004-03-05,0.2257,287
2004-03-21,0.3319,289
2004-04-06,0.3855,289
2004-04-22,0.4412,289
2004-05-08,0.4376,289
2004-05-24,0.5787,289
2004-06-09,0.5865,289
2004-06-25,0.5357,289
2004-07-11,0.4908,289
2004-07-27,0.4639,289
2004-08-12,0.4696,289
2004-08-28,0.4527,289
2004-09-13,0.4753,289
2004-09-29,0.5107,289
2004-10-15,0.5355,289
2004-10-31,0.4795,289
2004-11-16,0.4401,289
2004-12-02,0.3701,289
2004-12-18,0.3248,289
2005-01-01,0.2931,289
2005-01-17,0.3047,288
2005-02-02,0.2928,287
2005-02-18,0.2835,287
2005-03-06,0.2703,289
2005-03-22,0.3209,289
2005-04-07,0.3559,288
2005-04-23,0.5264,289
2005-05-09,0.5921,289
2005-05-25,0.6727,289
2005-06-10,0.7217,289
2005-06-26,0.65,289
2005-07-12,0.5752,289
2005-07-28,0.5669,289
2005-08-13,0.5564,289
2005-08-29,0.522,289
2005-09-14,0.4672,289
2005-09-30,0.4464,289
2005-10-16,0.3903,289
2005-11-01,0.3106,289
2005-11-17,0.3203,288
2005-12-03,0.0236,286
2005-12-19,0.1421,289
2006-01-01,0.2249,289
2006-01-17,0.2312,289
2006-02-02,0.2355,289
2006-02-18,0.2253,289
2006-03-06,0.2343,287
2006-03-22,0.2484,286
2006-04-07,0.4391,289
2006-04-23,0.5044,289
2006-05-09,0.5627,289
2006-05-25,0.5599,289
2006-06-10,0.5629,289
2006-06-26,0.5225,289
2006-07-12,0.4419,289
2006-07-28,0.3736,289
2006-08-13,0.5178,289
2006-08-29,0.6139,289
2006-09-14,0.6121,289
2006-09-30,0.5685,289
2006-10-16,0.5212,289
2006-11-01,0.4406,289
2006-11-17,0.3392,289
2006-12-03,0.3012,289
2006-12-19,0.2697,289
2007-01-01,0.0142,289
2007-01-17,0.1994,289
2007-02-02,0.0214,289
2007-02-18,0.0956,289
2007-03-06,0.2645,289
2007-03-22,0.3971,289
2007-04-07,0.3871,289
2007-04-23,0.559,289
2007-05-09,0.6451,289
2007-05-25,0.6707,289
2007-06-10,0.6859,289
2007-06-26,0.5248,289
2007-07-12,0.446,289
2007-07-28,0.3968,289
2007-08-13,0.4966,289
2007-08-29,0.517,289
2007-09-14,0.5241,289
2007-09-30,0.4587,289
2007-10-16,0.4519,289
2007-11-01,0.399,289
2007-11-17,0.3601,289
2007-12-03,0.0449,289
2007-12-19,0.0275,289
2008-01-01,0.2564,289
2008-01-17,0.0217,289
2008-02-02,0.0946,289
2008-02-18,0.235,288
2008-03-05,0.2548,286
2008-03-21,0.2935,289
2008-04-06,0.3149,286
2008-04-22,0.4769,289
2008-05-08,0.5007,289
2008-05-24,0.6291,289
2008-06-09,0.6822,289
2008-06-25,0.6446,289
2008-07-11,0.6465,289
2008-07-27,0.6135,289
2008-08-12,0.5485,289
2008-08-28,0.4341,289
2008-09-13,0.5102,289
2008-09-29,0.5255,289
2008-10-15,0.5046,289
2008-10-31,0.4285,287
2008-11-16,0.2684,289
2008-12-02,0.1149,289
2008-12-18,0.035,289
2009-01-01,0.1637,289
2009-01-17,0.2229,289
2009-02-02,0.1984,289
2009-02-18,0.0885,289
2009-03-06,0.2363,289
2009-03-22,0.0025,289
2009-04-07,0.3582,289
2009-04-23,0.4815,289
2009-05-09,0.5255,289
2009-05-25,0.5726,289
2009-06-10,0.6675,289
2009-06-26,0.6091,289
2009-07-12,0.6439,289
2009-07-28,0.6433,289
2009-08-13,0.6428,289
2009-08-29,0.5974,289
2009-09-14,0.5332,288
2009-09-30,0.468,289
2009-10-16,0.3642,289
2009-11-01,0.3476,287
2009-11-17,0.3274,288
2009-12-03,0.0327,289
2009-12-19,0.0628,289
2010-01-01,-0.0135,289
2010-01-17,0.0295,289
2010-02-02,0.0136,289
2010-02-18,0.0537,289
2010-03-06,0.1842,289
2010-03-22,0.249,289
2010-04-07,0.4482,289
2010-04-23,0.5466,289
2010-05-09,0.6015,289
2010-05-25,0.6478,289
2010-06-10,0.6458,289
2010-06-26,0.674,289
2010-07-12,0.5372,289
2010-07-28,0.5355,289
2010-08-13,0.4727,289
2010-08-29,0.4057,289
2010-09-14,0.3792,289
2010-09-30,0.344,289
2010-10-16,0.3548,289
2010-11-01,0.3325,288
2010-11-17,0.316,289
2010-12-03,0.2504,289
2010-12-19,0.2413,289
2011-01-01,-0.0185,289
2011-01-17,-0.0054,289
2011-02-02,0.0857,289
2011-02-18,-0.0031,289
2011-03-06,0.1289,289
2011-03-22,0.2915,289
2011-04-07,0.3575,289
2011-04-23,0.441,289
2011-05-09,0.5003,289
2011-05-25,0.6132,289
2011-06-10,0.6531,289
2011-06-26,0.7054,289
2011-07-12,0.7179,289
2011-07-28,0.697,289
2011-08-13,0.6223,289
2011-08-29,0.5786,289
2011-09-14,0.493,288
2011-09-30,0.4415,288
2011-10-16,0.4213,286
2011-11-01,0.3727,288
2011-11-17,0.3265,289
2011-12-03,0.2878,289
2011-12-19,0.2631,289
2012-01-01,0.268,289
2012-01-17,0.1834,289
2012-02-02,0.2306,289
2012-02-18,0.2109,289
2012-03-05,0.2396,287
2012-03-21,0.349,289
2012-04-06,0.4226,288
2012-04-22,0.5457,289
