date,ndvi,pixel_count
2000-02-18,0.2423,289
2000-03-05,0.2566,289
2000-03-21,0.2717,289
2000-04-06,0.3098,289
2000-04-22,0.4282,289
2000-05-08,0.5833,289
2000-05-24,0.6456,289
2000-06-09,0.6635,289
2000-06-25,0.7149,289
2000-07-11,0.776,289
2000-07-27,0.7194,289
2000-08-12,0.6972,289
2000-08-28,0.6143,289
2000-09-13,0.5124,289
2000-09-29,0.4324,289
2000-10-15,0.3576,289
2000-10-31,0.3419,289
2000-11-16,-0.0129,289
2000-12-02,-0.0131,289
2000-12-18,-0.0149,289
2001-01-01,-0.0046,289
2001-01-17,0.0052,289
2001-02-02,-0.0253,289
2001-02-18,-0.0259,289
2001-03-06,-0.0311,289
2001-03-22,0.1156,289
2001-04-07,0.2525,289
2001-04-23,0.319,289
2001-05-09,0.4991,289
2001-05-25,0.6082,289
2001-06-10,0.6385,289
2001-06-26,0.7002,289
2001-07-12,0.7284,289
2001-07-28,0.7421,289
2001-08-13,0.7203,289
2001-08-29,0.6195,289
2001-09-14,0.5233,289
2001-09-30,0.4679,289
2001-10-16,0.4476,289
2001-11-01,0.3976,289
2001-11-17,0.3756,289
2001-12-03,0.0081,289
2001-12-19,0.0842,289
2002-01-01,0.1106,289
2002-01-17,0.1917,289
2002-02-02,0.2315,289
2002-02-18,0.2541,289
2002-03-06,0.0056,289
2002-03-22,0.1664,289
2002-04-07,0.274,289
2002-04-23,0.3313,289
2002-05-09,0.4303,289
2002-05-25,0.5649,289
2002-06-10,0.6933,289
2002-06-26,0.7133,289
2002-07-12,0.7903,289
2002-07-28,0.7348,289
2002-08-13,0.7286,289
2002-08-29,0.6383,289
2002-09-14,0.5496,289
2002-09-30,0.4316,289
2002-10-16,0.2982,289
2002-11-01,0.3422,289
2002-11-17,0.3239,289
2002-12-03,0.288,289
2002-12-19,0.0089,289
2003-01-01,0.163,289
2003-01-17,0.0734,289
2003-02-02,0.0212,289
2003-02-18,0.1918,289
2003-03-06,0.212,289
2003-03-22,0.2332,289
2003-04-07,0.2944,289
2003-04-23,0.38,289
2003-05-09,0.5256,289
2003-05-25,0.6261,289
2003-06-10,0.7039,289
2003-06-26,0.7269,289
2003-07-12,0.74,289
2003-07-28,0.7156,289
2003-08-13,0.6789,289
2003-08-29,0.5571,289
2003-09-14,0.4864,289
2003-09-30,0.4269,289
2003-10-16,0.3836,289
2003-11-01,0.0212,289
2003-11-17,0.3156,289
2003-12-03,0.0326,289
2003-12-19,0.2031,289
2004-01-01,0.2066,289
2004-01-17,0.184,289
2004-02-02,0.0096,289
2004-02-18,0.2316,289
2004-03-05,0.2097,289
2004-03-21,0.2596,289
2004-04-06,0.2777,289
2004-04-22,0.396,289
2004-05-08,0.5014,289
2004-05-24,0.5871,289
2004-06-09,0.6691,289
2004-06-25,0.7468,289
2004-07-11,0.7934,289
2004-07-27,0.7852,289
2004-08-12,0.7428,289
2004-08-28,0.7385,289
2004-09-13,0.6643,289
2004-09-29,0.5452,289
2004-10-15,0.4296,289
2004-10-31,0.393,289
2004-11-16,0.3351,289
2004-12-02,0.2847,289
2004-12-18,0.0783,289
2005-01-01,0.0224,289
2005-01-17,0.0088,289
2005-02-02,0.2357,289
2005-02-18,0.0593,289
