date,ndvi,pixel_count
2000-02-18,0.2116,289
2000-03-05,0.21,289
2000-03-21,0.2215,289
2000-04-06,0.2471,289
2000-04-22,0.3177,289
2000-05-08,0.4218,289
2000-05-24,0.5139,289
2000-06-09,0.5297,289
2000-06-25,0.5419,289
2000-07-11,0.4944,289
2000-07-27,0.476,289
2000-08-12,0.4222,289
2000-08-28,0.3588,289
2000-09-13,0.3225,289
2000-09-29,0.2599,289
2000-10-15,0.2482,289
2000-10-31,0.2314,289
2000-11-16,-0.0026,289
2000-12-02,-0.0008,289
2000-12-18,-0.0007,289
2001-01-01,0.0961,289
2001-01-17,-0.0141,289
2001-02-02,-0.0112,289
2001-02-18,-0.0129,289
2001-03-06,0.2184,289
2001-03-22,0.2013,289
2001-04-07,0.2232,289
2001-04-23,0.3444,289
2001-05-09,0.4574,289
2001-05-25,0.5351,289
2001-06-10,0.5638,289
2001-06-26,0.4737,289
2001-07-12,0.5391,289
2001-07-28,0.5636,289
2001-08-13,0.4981,289
2001-08-29,0.4168,289
2001-09-14,0.4074,289
2001-09-30,0.4254,289
2001-10-16,0.3435,289
2001-11-01,0.2792,289
2001-11-17,0.2361,289
2001-12-03,0.2472,289
2001-12-19,0.2409,289
2002-01-01,0.2467,289
2002-01-17,0.1193,289
2002-02-02,0.202,289
2002-02-18,0.2186,289
2002-03-06,0.1753,289
2002-03-22,0.2047,289
2002-04-07,0.2632,289
2002-04-23,0.2697,289
2002-05-09,0.3294,289
2002-05-25,0.3492,289
2002-06-10,0.358,289
2002-06-26,0.3055,289
2002-07-12,0.3084,289
2002-07-28,0.4038,289
2002-08-13,0.3869,289
2002-08-29,0.3655,289
2002-09-14,0.3031,289
2002-09-30,0.2816,289
2002-10-16,0.2537,289
2002-11-01,0.2442,289
2002-11-17,0.2315,289
2002-12-03,0.2033,289
2002-12-19,0.0134,289
2003-01-01,0.1922,289
2003-01-17,0.0846,289
2003-02-02,0.0312,289
2003-02-18,0.0581,289
2003-03-06,0.2012,289
2003-03-22,0.2169,289
2003-04-07,0.254,289
2003-04-23,0.3619,289
2003-05-09,0.4766,289
2003-05-25,0.6032,289
2003-06-10,0.5966,289
2003-06-26,0.5993,289
2003-07-12,0.5004,289
2003-07-28,0.416,289
2003-08-13,0.345,289
2003-08-29,0.284,289
2003-09-14,0.2986,289
2003-09-30,0.2822,289
2003-10-16,0.2451,289
2003-11-01,-0.0283,289
2003-11-17,-0.0171,289
2003-12-03,-0.0123,289
2003-12-19,0.0441,289
2004-01-01,-0.0275,289
2004-01-17,-0.0121,289
2004-02-02,-0.0283,289
2004-02-18,-0.0028,289
2004-03-05,0.1771,289
2004-03-21,0.1939,289
2004-04-06,0.2793,289
2004-04-22,0.3354,289
2004-05-08,0.3512,289
2004-05-24,0.4308,289
2004-06-09,0.5363,289
2004-06-25,0.5068,289
2004-07-11,0.5582,289
2004-07-27,0.403,289
2004-08-12,0.3837,289
2004-08-28,0.3308,289
2004-09-13,0.3766,289
2004-09-29,0.3407,289
2004-10-15,0.3028,289
2004-10-31,0.2831,289
2004-11-16,0.2491,289
2004-12-02,0.2513,289
2004-12-18,0.2312,289
2005-01-01,0.0238,289
2005-01-17,0.2054,289
2005-02-02,0.2227,289
2005-02-18,0.2257,289
2005-03-06,0.2215,289
2005-03-22,0.2313,289
2005-04-07,0.2987,289
2005-04-23,0.3592,289
2005-05-09,0.455,289
2005-05-25,0.5693,289
2005-06-10,0.6021,289
2005-06-26,0.5905,289
2005-07-12,0.5391,289
2005-07-28,0.5368,289
2005-08-13,0.5017,289
2005-08-29,0.4678,289
2005-09-14,0.3986,289
2005-09-30,0.321,289
2005-10-16,0.2853,289
2005-11-01,0.2543,289
2005-11-17,0.2407,289
2005-12-03,0.2516,289
2005-12-19,0.2506,289
2006-01-01,-0.0329,289
2006-01-17,0.1376,289
2006-02-02,0.1869,289
2006-02-18,0.1918,289
2006-03-06,0.201,289
2006-03-22,0.2088,289
2006-04-07,0.2888,289
2006-04-23,0.3556,289
2006-05-09,0.3699,289
2006-05-25,0.3387,289
2006-06-10,0.2877,289
2006-06-26,0.2695,289
2006-07-12,0.2718,289
2006-07-28,0.2489,289
2006-08-13,0.2938,289
2006-08-29,0.3488,289
2006-09-14,0.3763,289
2006-09-30,0.4283,289
2006-10-16,0.3805,289
2006-11-01,0.339,289
2006-11-17,0.3068,289
2006-12-03,0.2619,289
2006-12-19,0.2183,289
2007-01-01,0.0245,289
2007-01-17,0.2296,289
2007-02-02,0.0968,289
2007-02-18,0.0053,289
2007-03-06,0.2228,289
2007-03-22,0.2491,289
2007-04-07,0.2826,289
2007-04-23,0.5117,289
2007-05-09,0.5858,289
2007-05-25,0.6458,289
2007-06-10,0.6881,289
2007-06-26,0.6302,289
2007-07-12,0.5811,289
2007-07-28,0.4635,289
2007-08-13,0.5002,289
